"","preferred","alt","bee","group"
"1905","coeval","","two","champions"
"1906","curio","","two","champions"
"1907","ombudsman","","two","champions"
"1908","hydrant","","two","champions"
"1909","zeppelin","","two","champions"
"1910","superficiality","","two","champions"
"1911","marooned","","two","champions"
"1912","volary","volery","two","champions"
"1913","follicle","","two","champions"
"1914","brochure","","two","champions"
"1915","grotesqueness","","two","champions"
"1916","privatim","","two","champions"
"1917","eradicate","","two","champions"
"1918","krypton","","two","champions"
"1919","ethanol","","two","champions"
"1920","quadriceps","","two","champions"
"1921","tachycardia","","two","champions"
"1922","triceratops","","two","champions"
"1923","sandal","","two","champions"
"1924","pashmina","","two","champions"
"1925","utilitarian","","two","champions"
"1926","millivolt","","two","champions"
"1927","herringbone","","two","champions"
"1928","orchestra","","two","champions"
"1929","phlox","","two","champions"
"1930","tractability","","two","champions"
"1931","montage","","two","champions"
"1932","compendium","","two","champions"
"1933","unmoored","","two","champions"
"1934","yardang","","two","champions"
"1935","fluctuation","","two","champions"
"1936","flabbergast","","two","champions"
"1937","accolade","","two","champions"
"1938","connivery","","two","champions"
"1939","impresario","","two","champions"
"1940","bruschetta","","two","champions"
"1941","dictum","","two","champions"
"1942","premonition","","two","champions"
"1943","stereotypical","","two","champions"
"1944","bergamot","","two","champions"
"1945","telepathic","","two","champions"
"1946","banquet","","two","champions"
"1947","upbraid","","two","champions"
"1948","pancreas","","two","champions"
"1949","expunge","","two","champions"
"1950","maize","","two","champions"
"1951","metastasize","","two","champions"
"1952","quintessential","","two","champions"
"1953","pollutant","","two","champions"
"1954","brouhaha","","two","champions"
"1955","pedantry","","two","champions"
"1956","performance","","two","champions"
"1957","equivocate","","two","champions"
"1958","fission","","two","champions"
"1959","boondoggle","","two","champions"
"1960","phylum","","two","champions"
"1961","hypochondria","","two","champions"
"1962","obstetrician","","two","champions"
"1963","replete","","two","champions"
"1964","raucous","","two","champions"
"1965","Brandywine","","two","champions"
"1966","surreptitious","","two","champions"
"1967","surplus","","two","champions"
"1968","impediment","","two","champions"
"1969","revenant","","two","champions"
"1970","topgallant","","two","champions"
"1971","clandestine","","two","champions"
"1972","genealogical","","two","champions"
"1973","pomposity","","two","champions"
"1974","neonatology","","two","champions"
"1975","pituitary","","two","champions"
"1976","fleetness","","two","champions"
"1977","anonymity","","two","champions"
"1978","carcinogenic","","two","champions"
"1979","detritus","","two","champions"
"1980","anorak","","two","champions"
"1981","enviable","","two","champions"
"1982","extrapolate","","two","champions"
"1983","extinguish","","two","champions"
"1984","pilaster","","two","champions"
"1985","perceptible","","two","champions"
"1986","dystopia","","two","champions"
"1987","muesli","","two","champions"
"1988","crux","","two","champions"
"1989","wordmonger","","two","champions"
"1990","wobbulator","","two","champions"
"1991","mahogany","","two","champions"
"1992","moribund","","two","champions"
"1993","recriminatory","","two","champions"
"1994","subaqueous","","two","champions"
"1995","recusancy","","two","champions"
"1996","retrocedence","","two","champions"
"1997","cauterize","","two","champions"
"1998","immolate","","two","champions"
"1999","résumé","","two","champions"
"2000","extensive","","two","champions"
"2001","transcend","","two","champions"
"2002","freneticism","","two","champions"
"2003","merino","","two","champions"
"2004","pestilence","","two","champions"
"2005","mordant","","two","champions"
"2006","posthumous","","two","champions"
"2007","QWERTY","","two","champions"
"2008","foosball","","two","champions"
"2009","accentuate","","two","champions"
"2010","ascension","","two","champions"
"2011","venue","","two","champions"
"2012","microfiche","","two","champions"
"2013","quadrilateral","","two","champions"
"2014","turpentine","","two","champions"
"2015","cellophane","","two","champions"
"2016","indulgent","","two","champions"
"2017","occipital","","two","champions"
"2018","predicament","","two","champions"
"2019","provincial","","two","champions"
"2020","antithesis","","two","champions"
"2021","gouge","","two","champions"
"2022","salivate","","two","champions"
"2023","laity","","two","champions"
"2024","indolent","","two","champions"
"2025","documentary","","two","champions"
"2026","bromide","","two","champions"
"2027","algae","","two","champions"
"2028","reminiscent","","two","champions"
"2029","menial","","two","champions"
"2030","Moroccan","","two","champions"
"2031","clearance","","two","champions"
"2032","assure","","two","champions"
"2033","compatriots","","two","champions"
"2034","liaise","","two","champions"
"2035","quotidian","","two","champions"
"2036","matriculation","","two","champions"
"2037","revulsive","","two","champions"
"2038","gaucho","","two","champions"
"2039","capsule","","two","champions"
"2040","tragedian","","two","champions"
"2041","fajitas","","two","champions"
"2042","felonious","","two","champions"
"2043","palatial","","two","champions"
"2044","Mecca","","two","champions"
"2045","albeit","","two","champions"
"2046","vermicide","","two","champions"
"2047","echelon","","two","champions"
"2048","supremacy","","two","champions"
"2049","clowder","","two","champions"
"2050","occultation","","two","champions"
"2051","Chihuahua","","two","champions"
"2052","promontory","","two","champions"
"2053","shar-pei","","two","champions"
"2054","narcoleptic","","two","champions"
"2055","efface","","two","champions"
"2056","sycophant","","two","champions"
"2057","bellwether","","two","champions"
"2058","clarinet","","two","champions"
"2059","capillary","","two","champions"
"2060","disposition","","two","champions"
"2061","remonstrance","","two","champions"
"2062","smithereens","","two","champions"
"2063","curator","","two","champions"
"2064","judicious","","two","champions"
"2065","vice-versa","","two","champions"
"2066","exercise","","two","champions"
"2067","civet","","two","champions"
"2068","pancetta","","two","champions"
"2069","waiver","","two","champions"
"2070","decennial","","two","champions"
"2071","dynamite","","two","champions"
"2072","Gemini","","two","champions"
"2073","retinol","","two","champions"
"2074","corpulent","","two","champions"
"2075","potpourri","","two","champions"
"2076","pallor","","two","champions"
"2077","Yorkshire","","two","champions"
"2078","Belgravia","","two","champions"
"2079","casserole","","two","champions"
"2080","semester","","two","champions"
"2081","sacrament","","two","champions"
"2082","terra-cotta","","two","champions"
"2083","moratorium","","two","champions"
"2084","cognizant","cognisant","two","champions"
"2085","languish","","two","champions"
"2086","protuberant","","two","champions"
"2087","chortle","","two","champions"
"2088","unscathed","","two","champions"
"2089","raclette","","two","champions"
"2090","superstitious","","two","champions"
"2091","mawkish","","two","champions"
"2092","flambé","","two","champions"
"2093","patronymic","","two","champions"
"2094","odometer","","two","champions"
"2095","uvula","","two","champions"
"2096","enumerated","","two","champions"
"2097","desertification","","two","champions"
"2098","quirky","","two","champions"
"2099","arraign","","two","champions"
"2100","elegant","","two","champions"
"2101","minacious","","two","champions"
"2102","vindictive","","two","champions"
"2103","implacable","","two","champions"
"2104","logarithmic","","two","champions"
"2105","regicide","","two","champions"
"2106","hubris","","two","champions"
"2107","hibernaculum","","two","champions"
"2108","bandicoot","","two","champions"
"2109","malinger","","two","champions"
"2110","parliamentary","","two","champions"
"2111","rebarbative","","two","champions"
"2112","olympiad","","two","champions"
"2113","crocodile","","two","champions"
"2114","venerable","","two","champions"
"2115","chemise","","two","champions"
"2116","campanology","","two","champions"
"2117","persuasible","","two","champions"
"2118","desultorily","","two","champions"
"2119","papyrus","","two","champions"
"2120","El","","two","champions"
"2121","Niño","","two","champions"
"2122","anchorage","","two","champions"
"2123","conundrum","","two","champions"
"2124","debilitate","","two","champions"
"2125","mittimus","","two","champions"
"2126","mellifluous","","two","champions"
"2127","clemency","","two","champions"
"2128","backgammon","","two","champions"
"2129","intuitable","","two","champions"
"2130","divvy","","two","champions"
"2131","fatuously","","two","champions"
"2132","fraudulent","","two","champions"
"2133","necessity","","two","champions"
"2134","piety","","two","champions"
"2135","veritable","","two","champions"
"2136","sashay","","two","champions"
"2137","sciatica","","two","champions"
"2138","discomfiture","","two","champions"
"2139","emphysema","","two","champions"
"2140","stridency","","two","champions"
"2141","acetone","","two","champions"
"2142","cerebellum","","two","champions"
"2143","pantomime","","two","champions"
"2144","prima-donna","","two","champions"
"2145","praxis","","two","champions"
"2146","Tinseltown","","two","champions"
"2147","sorrel","","two","champions"
"2148","McCoy","","two","champions"
"2149","histrionics","","two","champions"
"2150","cashier","","two","champions"
"2151","polysemy","","two","champions"
"2152","stampede","","two","champions"
"2153","forfeit","","two","champions"
"2154","armadillo","","two","champions"
"2155","overweening","","two","champions"
"2156","sacrosanct","","two","champions"
"2157","syringe","","two","champions"
"2158","eclipse","","two","champions"
"2159","espadrille","","two","champions"
"2160","corgi","","two","champions"
"2161","caffeine","","two","champions"
"2162","panacea","","two","champions"
"2163","cabaret","","two","champions"
"2164","froufrou","","two","champions"
"2165","eschew","","two","champions"
"2166","ventricle","","two","champions"
"2167","inducement","","two","champions"
"2168","vanguard","","two","champions"
"2169","portrait","","two","champions"
"2170","tepidity","","two","champions"
"2171","meridian","","two","champions"
"2172","spontaneity","","two","champions"
"2173","platinum","","two","champions"
"2174","nonnegotiable","","two","champions"
"2175","disparate","","two","champions"
"2176","artifice","","two","champions"
"2177","cymbals","","two","champions"
"2178","nucleated","","two","champions"
"2179","exorbitant","","two","champions"
"2180","reparations","","two","champions"
"2181","constabulary","","two","champions"
"2182","speculate","","two","champions"
"2183","stratosphere","","two","champions"
"2184","noxious","","two","champions"
"2185","arbitrary","","two","champions"
"2186","quasar","","two","champions"
"2187","Podunk","","two","champions"
"2188","seize","","two","champions"
"2189","pathos","","two","champions"
"2190","equinox","","two","champions"
"2191","prosperous","","two","champions"
"2192","sclerosis","","two","champions"
"2193","ablaut","","two","champions"
"2194","anabolic","","two","champions"
"2195","jimberjawed","","two","champions"
"2196","toilsome","","two","champions"
"2197","tempestuous","","two","champions"
"2198","univocal","","two","champions"
"2199","avarice","","two","champions"
"2200","bouclé","boucle","two","champions"
"2201","thoroughbred","","two","champions"
"2202","potassium","","two","champions"
"2203","peculate","","two","champions"
"2204","treatise","","two","champions"
"2205","undergird","","two","champions"
"2206","oompah","","two","champions"
"2207","adulation","","two","champions"
"2208","minutia","","two","champions"
"2209","anticipatory","","two","champions"
"2210","chinook","","two","champions"
"2211","indigent","","two","champions"
"2212","merganser","","two","champions"
"2213","sternum","","two","champions"
"2214","par-excellence","","two","champions"
"2215","thwartwise","","two","champions"
"2216","tae-kwon-do","","two","champions"
"2217","fenestrated","","two","champions"
"2218","lugubrious","","two","champions"
"2219","isosceles","","two","champions"
"2220","hoity-toity","","two","champions"
"2221","Mesopotamian","","two","champions"
"2222","Muzak","","two","champions"
"2223","vicinity","","two","champions"
"2224","merely","","two","champions"
"2225","abominable","","two","champions"
"2226","procedure","","two","champions"
"2227","limpid","","two","champions"
"2228","syllabus","","two","champions"
"2229","animus","","two","champions"
"2230","trillium","","two","champions"
"2231","Dalmatian","","two","champions"
"2232","ufology","","two","champions"
"2233","cholera","","two","champions"
"2234","minuscule","miniscule","two","champions"
"2235","jeepney","","two","champions"
"2236","volucrine","","two","champions"
"2237","populace","","two","champions"
"2238","vetiver","","two","champions"
"2239","parameters","","two","champions"
"2240","inflammable","","two","champions"
"2241","pyrotechnics","","two","champions"
"2242","mollify","","two","champions"
"2243","cohesive","","two","champions"
"2244","stigmata","","two","champions"
"2245","prolix","","two","champions"
"2246","mitochondria","","two","champions"
"2247","onomatopoeia","","two","champions"
"2248","lavender","","two","champions"
"2249","tensile","","two","champions"
"2250","gaudery","","two","champions"
"2251","luxuriate","","two","champions"
"2252","cavalcade","","two","champions"
"2253","gladiatorial","","two","champions"
"2254","machination","","two","champions"
"2255","pugnacious","","two","champions"
"2256","peruse","","two","champions"
"2257","alluvial","","two","champions"
"2258","epicurean","","two","champions"
"2259","derelict","","two","champions"
"2260","revelation","","two","champions"
"2261","arithmetic","","two","champions"
"2262","depredation","","two","champions"
"2263","ignominious","","two","champions"
"2264","auction","","two","champions"
"2265","assiduous","","two","champions"
"2266","diligence","","two","champions"
"2267","bodega","","two","champions"
"2268","bona","","two","champions"
"2269","fide","","two","champions"
"2270","gustatory","","two","champions"
"2271","obliterate","","two","champions"
"2272","legalese","","two","champions"
"2273","rudiments","","two","champions"
"2274","monitory","","two","champions"
"2275","equilibrium","","two","champions"
"2276","roustabout","","two","champions"
"2277","trifle","","two","champions"
"2278","ambrosial","","two","champions"
"2279","simultaneity","","two","champions"
"2280","gastronome","","two","champions"
"2281","epithet","","two","champions"
"2282","encroach","","two","champions"
"2283","acacia","","two","champions"
"2284","tetanus","","two","champions"
"2285","scarlatina","","two","champions"
"2286","ciao","","two","champions"
"2287","genome","","two","champions"
"2288","inviolable","","two","champions"
"2289","contrite","","two","champions"
"2290","patrician","","two","champions"
"2291","enervate","","two","champions"
"2292","turophile","","two","champions"
"2293","Patagonia","","two","champions"
"2294","vanquish","","two","champions"
"2295","ectoplasm","","two","champions"
"2296","olfactory","","two","champions"
"2297","en-masse","","two","champions"
"2298","stroganoff","","two","champions"
"2299","procrastinate","","two","champions"
"2300","purification","","two","champions"
"2301","plantain","","two","champions"
"2302","aperture","","two","champions"
"2303","rhythmically","","two","champions"
"2304","shazam","","two","champions"
"2305","bountiful","","two","champions"
"2306","pantheon","","two","champions"
"2307","marimba","","two","champions"
"2308","conduit","","two","champions"
"2309","bravado","","two","champions"
"2310","beneficent","","two","champions"
"2311","indict","","two","champions"
"2312","epitome","","two","champions"
"2313","annulment","","two","champions"
"2314","vegetarian","","two","champions"
"2315","surimi","","two","champions"
"2316","besmirch","","two","champions"
"2317","trespass","","two","champions"
"2318","commandeer","","two","champions"
"2319","bonsai","","two","champions"
"2320","university","","two","champions"
"2321","celestial","","two","champions"
"2322","preposterous","","two","champions"
"2323","extant","","two","champions"
"2324","cogently","","two","champions"
"2325","auricular","","two","champions"
"2326","settee","","two","champions"
"2327","legitimately","","two","champions"
"2328","inoculate","","two","champions"
"2329","heleoplankton","","two","champions"
"2330","pliant","","two","champions"
"2331","billiards","","two","champions"
"2332","obstreperous","","two","champions"
"2333","frabjous","","two","champions"
"2334","spiracle","","two","champions"
"2335","Formica","","two","champions"
"2336","Mylar","","two","champions"
"2337","rustication","","two","champions"
"2338","globular","","two","champions"
"2339","stellular","","two","champions"
"2340","akimbo","","two","champions"
"2341","derisive","","two","champions"
"2342","ineluctable","","two","champions"
"2343","eerily","","two","champions"
"2344","funambulist","","two","champions"
"2345","apotheosis","","two","champions"
"2346","entrée","","two","champions"
"2347","homeostasis","","two","champions"
"2348","calamari","","two","champions"
"2349","prehensile","","two","champions"
"2350","somatotype","","two","champions"
"2351","bizarro","","two","champions"
"2352","dissemble","","two","champions"
"2353","gallant","","two","champions"
"2354","intensify","","two","champions"
"2355","hurriedly","","two","champions"
"2356","corrosive","","two","champions"
"2357","afghan","","two","champions"
"2358","odontiasis","","two","champions"
"2359","stratification","","two","champions"
"2360","tomahawk","","two","champions"
"2361","artesian","","two","champions"
"2362","mendacious","","two","champions"
"2363","gubernatorial","","two","champions"
"2364","pungent","","two","champions"
"2365","mandrill","","two","champions"
"2366","gibbous","","two","champions"
"2367","extracurricular","","two","champions"
"2368","punctuation","","two","champions"
"2369","nautilus","","two","champions"
"2370","thievery","","two","champions"
"2371","dragoon","","two","champions"
"2372","yuzu","","two","champions"
"2373","ritziness","","two","champions"
"2374","gazette","","two","champions"
"2375","continuum","","two","champions"
"2376","pachyderm","","two","champions"
"2377","symposium","","two","champions"
"2378","floribunda","","two","champions"
"2379","salience","","two","champions"
"2380","molasses","","two","champions"
"2381","classical","","two","champions"
"2382","fungible","","two","champions"
"2383","Gothamite","","two","champions"
"2384","affable","","two","champions"
"2385","dopamine","","two","champions"
"2386","pitiful","","two","champions"
"2387","ammunition","","two","champions"
"2388","pariah","","two","champions"
"2389","prodigious","","two","champions"
"2390","denominator","","two","champions"
"2391","prorogue","","two","champions"
"2392","fecund","","two","champions"
"2393","laceration","","two","champions"
"2394","nexus","","two","champions"
"2395","decor","décor","two","champions"
"2396","duchy","","two","champions"
"2397","pagoda","","two","champions"
"2398","establishment","","two","champions"
"2399","ruminate","","two","champions"
"2400","sympathy","","two","champions"
"2401","puniness","","two","champions"
"2402","lingua","","two","champions"
"2403","franca","","two","champions"
"2404","triforium","","two","champions"
"2405","déjà-vu","déjà-vue","two","champions"
"2406","calabash","","two","champions"
"2407","chute","shute","two","champions"
"2408","impermeable","","two","champions"
"2409","trepidation","","two","champions"
"2410","collision","","two","champions"
"2411","scarab","","two","champions"
"2412","veganism","","two","champions"
"2413","humerus","","two","champions"
"2414","vagabonds","","two","champions"
"2415","variegated","","two","champions"
"2416","volition","","two","champions"
"2417","gossamer","","two","champions"
"2418","vincible","","two","champions"
"2419","factitious","","two","champions"
"2420","sculpture","","two","champions"
"2421","annuity","","two","champions"
"2422","quid","","two","champions"
"2423","pro","","two","champions"
"2424","quo","","two","champions"
"2425","curmudgeon","","two","champions"
"2426","cushion","","two","champions"
"2427","tutelage","","two","champions"
"2428","domiciled","","two","champions"
"2429","theorem","","two","champions"
"2430","accrual","","two","champions"
"2431","grandeur","","two","champions"
"2432","ottoman","","two","champions"
"2433","logographic","","two","champions"
"2434","armistice","","two","champions"
"2435","cryogenic","","two","champions"
"2436","catalyst","","two","champions"
"2437","thespian","","two","champions"
"2438","submersible","","two","champions"
"2439","extemporaneous","","two","champions"
"2440","ungetatable","","two","champions"
"2441","unilaterally","","two","champions"
"2442","ordinance","","two","champions"
"2443","ursine","","two","champions"
"2444","arduous","","two","champions"
"2445","carnitas","","two","champions"
"2446","bulgogi","","two","champions"
"2447","fibromyalgia","","two","champions"
"2448","terrier","","two","champions"
"2449","captivated","","two","champions"
"2450","onus","","two","champions"
"2451","precursor","","two","champions"
"2452","mochi","","two","champions"
"2453","feign","","two","champions"
"2454","dementia","","two","champions"
"2455","voilà","voila","two","champions"
"2456","habanero","","two","champions"
"2457","Francophone","","two","champions"
"2458","convivium","","two","champions"
"2459","atrium","","two","champions"
"2460","italicization","","two","champions"
"2461","preliminary","","two","champions"
"2462","echoed","","two","champions"
"2463","reticulated","","two","champions"
"2464","authenticate","","two","champions"
"2465","fiscal","","two","champions"
"2466","oblige","","two","champions"
"2467","viscount","","two","champions"
"2468","plague","","two","champions"
"2469","preferential","","two","champions"
"2470","bazooka","","two","champions"
"2471","complacency","","two","champions"
"2472","kraken","","two","champions"
"2473","stanzaic","","two","champions"
"2474","putrescent","","two","champions"
"2475","nostalgia","","two","champions"
"2476","dechlorinate","","two","champions"
"2477","unconscionable","","two","champions"
"2478","Pembroke","","two","champions"
"2479","liquefaction","","two","champions"
"2480","palazzo","","two","champions"
"2481","miasma","","two","champions"
"2482","concoct","","two","champions"
"2483","modicum","","two","champions"
"2484","javelin","","two","champions"
"2485","spoonerism","","two","champions"
"2486","complicit","","two","champions"
"2487","gyrocopter","","two","champions"
"2488","medieval","mediaeval","two","champions"
"2489","licensure","","two","champions"
"2490","Herculean","","two","champions"
"2491","pilgrimages","","two","champions"
"2492","oriel","","two","champions"
"2493","preeminent","","two","champions"
"2494","alfresco","","two","champions"
"2495","loquacious","","two","champions"
"2496","prosthetic","","two","champions"
"2497","latency","","two","champions"
"2498","epitaphs","","two","champions"
"2499","solitaire","","two","champions"
"2500","dishevel","","two","champions"
"2501","Limburger","","two","champions"
"2502","tuffet","","two","champions"
"2503","epact","","two","champions"
"2504","abstruse","","two","champions"
"2505","nephrolith","","two","champions"
"2506","adipose","","two","champions"
"2507","quorum","","two","champions"
"2508","pharynx","","two","champions"
"2509","epistolary","","two","champions"
"2510","pursuit","","two","champions"
"2511","esoteric","","two","champions"
"2512","grapheme","","two","champions"
"2513","trigonometry","","two","champions"
"2514","alloy","","two","champions"
"2515","Belgium","","two","champions"
"2516","audacious","","two","champions"
"2517","exasperate","","two","champions"
"2518","Mandarin","","two","champions"
"2519","Kelvin","","two","champions"
"2520","vellum","","two","champions"
"2521","enunciate","","two","champions"
"2522","tarsier","","two","champions"
"2523","autodidact","","two","champions"
"2524","parable","","two","champions"
"2525","rowan","","two","champions"
"2526","tripartite","","two","champions"
"2527","Bohemian","","two","champions"
"2528","succinct","","two","champions"
"2529","inquietude","","two","champions"
"2530","compunction","","two","champions"
"2531","decumbiture","","two","champions"
"2532","multivalent","","two","champions"
"2533","artillery","","two","champions"
"2534","quotient","","two","champions"
"2535","ricotta","","two","champions"
"2536","guttural","","two","champions"
"2537","atrocious","","two","champions"
"2538","vivacious","","two","champions"
"2539","xenoglossy","","two","champions"
"2540","smorgasbord","","two","champions"
"2541","electrode","","two","champions"
"2542","sporadically","","two","champions"
"2543","sudation","","two","champions"
"2544","cytoplasm","","two","champions"
"2545","affectionately","","two","champions"
"2546","Pulitzer","","two","champions"
"2547","vitreous","","two","champions"
"2548","wraith","","two","champions"
"2549","insulin","","two","champions"
"2550","phlegmatic","","two","champions"
"2551","spasmodic","","two","champions"
"2552","bouquet","","two","champions"
"2553","denizen","","two","champions"
"2554","duopoly","","two","champions"
"2555","alpinist","","two","champions"
"2556","abracadabra","","two","champions"
"2557","plethora","","two","champions"
"2558","rappelled","","two","champions"
"2559","conceit","","two","champions"
"2560","tapas","","two","champions"
"2561","sediment","","two","champions"
"2562","emulate","","two","champions"
"2563","caveat","","two","champions"
"2564","doubloons","","two","champions"
"2565","oscillation","","two","champions"
"2566","enzyme","","two","champions"
"2567","dinero","","two","champions"
"2568","comestibles","","two","champions"
"2569","stenographer","","two","champions"
"2570","mezzanine","","two","champions"
"2571","lozenge","","two","champions"
"2572","tedious","","two","champions"
"2573","resonate","","two","champions"
"2574","suspicion","","two","champions"
"2575","repudiate","","two","champions"
"2576","emporium","","two","champions"
"2577","Victorian","","two","champions"
"2578","forestallment","","two","champions"
"2579","Iberian","","two","champions"
"2580","fluency","","two","champions"
"2581","invective","","two","champions"
"2582","occur","","two","champions"
"2583","claustrophobia","","two","champions"
"2584","idyllic","","two","champions"
"2585","coralline","","two","champions"
"2586","abhenry","","two","champions"
"2587","chromosome","","two","champions"
"2588","braggart","","two","champions"
"2589","relentlessly","","two","champions"
"2590","opalescence","","two","champions"
"2591","polyglot","","two","champions"
"2592","velociraptor","","two","champions"
"2593","puree","","two","champions"
"2594","manticore","","two","champions"
"2595","chronometer","","two","champions"
"2596","cherubic","","two","champions"
"2597","wherewithal","","two","champions"
"2598","inquisitor","","two","champions"
"2599","chemistry","","two","champions"
"2600","quandary","","two","champions"
"2601","equanimity","","two","champions"
"2602","thermos","","two","champions"
"2603","acrylics","","two","champions"
"2604","imminent","","two","champions"
"2605","hieroglyphics","","two","champions"
"2606","oculus","","two","champions"
"2607","dubiously","","two","champions"
"2608","mariposa","","two","champions"
"2609","teleology","","two","champions"
"2610","bowyer","","two","champions"
"2611","infatuation","","two","champions"
"2612","abysmal","","two","champions"
"2613","chambray","","two","champions"
"2614","rhombus","","two","champions"
"2615","revendicate","","two","champions"
"2616","jonquil","","two","champions"
"2617","pensive","","two","champions"
"2618","quarantine","","two","champions"
"2619","schnitzel","","two","champions"
"2620","rialto","","two","champions"
"2621","delphinium","","two","champions"
"2622","obelisk","","two","champions"
"2623","diurnal","","two","champions"
"2624","prejudice","","two","champions"
"2625","bombastic","","two","champions"
"2626","cistern","","two","champions"
"2627","exquisite","","two","champions"
"2628","epsilon","","two","champions"
"2629","petroglyphs","","two","champions"
"2630","specious","","two","champions"
"2631","pumice","","two","champions"
"2632","zodiac","","two","champions"
"2633","artery","","two","champions"
"2634","ornithology","","two","champions"
"2635","apropos","","two","champions"
"2636","pessimum","","two","champions"
"2637","amateurish","","two","champions"
"2638","intransigent","intransigeant","two","champions"
"2639","tyrannical","","two","champions"
"2640","pearlescent","","two","champions"
"2641","tautology","","two","champions"
"2642","misconstrue","","two","champions"
"2643","sagacious","","two","champions"
"2644","mammalian","","two","champions"
"2645","tranquil","","two","champions"
"2646","behemoth","","two","champions"
"2647","equestrian","","two","champions"
"2648","nominal","","two","champions"
"2649","draconian","","two","champions"
"2650","trebuchet","","two","champions"
"2651","ransom","","two","champions"
"2652","iambic","","two","champions"
"2653","monocle","","two","champions"
"2654","apocalypse","","two","champions"
"2655","cemetery","","two","champions"
"2656","anticoagulant","","two","champions"
"2657","euro","","two","champions"
"2658","Gouda","","two","champions"
"2659","endocrine","","two","champions"
"2660","presumptuous","","two","champions"
"2661","doubt","","two","champions"
"2662","unkempt","","two","champions"
"2663","cursive","","two","champions"
"2664","binoculars","","two","champions"
"2665","apportion","","two","champions"
"2666","gurney","","two","champions"
"2667","sanctimonious","","two","champions"
"2668","peremptory","","two","champions"
"2669","infarction","","two","champions"
"2670","cedar","","two","champions"
"2671","udon","","two","champions"
"2672","gourd","","two","champions"
"2673","verbatim","","two","champions"
"2674","joule","","two","champions"
"2675","niacin","","two","champions"
"2676","courage","","two","champions"
"2677","arabesque","","two","champions"
"2678","cylindrical","","two","champions"
"2679","tephra","","two","champions"
"2680","lackadaisical","","two","champions"
"2681","silhouette","","two","champions"
"2682","dismal","","two","champions"
"2683","consortium","","two","champions"
"2684","tuition","","two","champions"
"2685","multifarious","","two","champions"
"2686","unanimous","","two","champions"
"2687","soporific","","two","champions"
"2688","tupelo","","two","champions"
"2689","cadaverous","","two","champions"
"2690","prowess","","two","champions"
"2691","dromedary","","two","champions"
"2692","squalid","","two","champions"
"2693","tracheotomy","","two","champions"
"2694","firmament","","two","champions"
"2695","paramountcy","","two","champions"
"2696","sultana","","two","champions"
"2697","agrarian","","two","champions"
"2698","collapsar","","two","champions"
"2699","exhibition","","two","champions"
"2700","ministrations","","two","champions"
"2701","racketeer","","two","champions"
"2702","solder","","two","champions"
"2703","interim","","two","champions"
"2704","definiendum","","two","champions"
"2705","***dandle","","two","champions"
"2706","effete","","two","champions"
"2707","Antigua","","two","champions"
"2708","vaudeville","","two","champions"
"2709","frisket","","two","champions"
"2710","brockage","","two","champions"
"2711","malapropism","","two","champions"
"2712","pelf","","two","champions"
"2713","aqueous","","two","champions"
"2714","Dianthus","","two","champions"
"2715","olingo","","two","champions"
"2716","Halifax","","two","champions"
"2717","concordance","","two","champions"
"2718","huerta","","two","champions"
"2719","vascular","","two","champions"
"2720","wentletrap","","two","champions"
"2721","serrated","","two","champions"
"2722","poblano","","two","champions"
"2723","conclave","","two","champions"
"2724","Gregorian","","two","champions"
"2725","rebuff","","two","champions"
"2726","taverna","","two","champions"
"2727","illicitly","","two","champions"
"2728","cribbage","","two","champions"
"2729","crith","","two","champions"
"2730","Namibian","","two","champions"
"2731","tricenary","","two","champions"
"2732","triste","","two","champions"
"2733","interred","","two","champions"
"2734","legerity","","two","champions"
"2735","Vatican","","two","champions"
"2736","fucoid","","two","champions"
"2737","parley","","two","champions"
"2738","meningitis","","two","champions"
"2739","nutation","","two","champions"
"2740","nutria","","two","champions"
"2741","sedge","","two","champions"
"2742","capstan","","two","champions"
"2743","vicarious","","two","champions"
"2744","alate","","two","champions"
"2745","victimology","","two","champions"
"2746","ibex","","two","champions"
"2747","cudgel","","two","champions"
"2748","bicameral","","two","champions"
"2749","irrigation","","two","champions"
"2750","labradoodle","","two","champions"
"2751","portico","","two","champions"
"2752","corsage","","two","champions"
"2753","smellfungus","","two","champions"
"2754","arboretum","","two","champions"
"2755","Zamboni","","two","champions"
"2756","blarney","","two","champions"
"2757","diacritic","","two","champions"
"2758","mephitic","","two","champions"
"2759","complementary","","two","champions"
"2760","Philistine","","two","champions"
"2761","dyspeptic","","two","champions"
"2762","inglorious","","two","champions"
"2763","louche","","two","champions"
"2764","avatar","","two","champions"
"2765","grandiloquent","","two","champions"
"2766","armature","","two","champions"
"2767","maidenhair","","two","champions"
"2768","aureole","","two","champions"
"2769","spinosity","","two","champions"
"2770","prespinous","","two","champions"
"2771","cladistics","","two","champions"
"2772","gasiform","","two","champions"
"2773","valuator","","two","champions"
"2774","deserter","","two","champions"
"2775","jankers","","two","champions"
"2776","Evactor","","two","champions"
"2777","possessive","","two","champions"
"2778","venial","","two","champions"
"2779","seton","","two","champions"
"2780","demerits","","two","champions"
"2781","diaspora","","two","champions"
"2782","pious","","two","champions"
"2783","borough","","two","champions"
"2784","volatile","","two","champions"
"2785","gnocchi","","two","champions"
"2786","surety","","two","champions"
"2787","pileus","","two","champions"
"2788","fez","","two","champions"
"2789","glengarry","","two","champions"
"2790","commissioner","","two","champions"
"2791","grande","","two","champions"
"2792","dame","","two","champions"
"2793","verism","","two","champions"
